module type_0,x_0,x_1,x_2,x_3,x_4,x_5,y_0,y_1,y_2,y_3,z_0,z_1,z_2,z_3,edge count_0,line length_0,img_0,area difference_0,total score_0
23,11,0.048,0.049,0.958,0.863,0.521,6,0.35,0.85,0.33,2,0.07,0.09,0.51,3168,1,C:\Users\glady\Desktop\datalogging (new)/line length_3602.jpg,0.004781,1.004781
18,8,0.146,0.726,0.505,0.756,0.566,7,0.02,0.44,0.48,2,0.41,0.9,0.2,1344,1,C:\Users\glady\Desktop\datalogging (new)/line length_2642.jpg,0.005281,1.005281
18,11,0.339,0.503,0.249,0.549,0.517,6,0.26,0.77,0.3,2,0.24,0.27,0.45,1584,1,C:\Users\glady\Desktop\datalogging (new)/line length_2900.jpg,0.005533,1.005533
18,12,0.335,0.458,0.412,0.377,0.417,6,0.57,0.63,0.31,2,0.32,0.31,0.47,1728,1,C:\Users\glady\Desktop\datalogging (new)/line length_2862.jpg,0.006426,1.006426
23,10,0.85,0.464,0.826,0.448,0.974,6,0.07,0.71,0.98,2,0.19,0.44,0.92,2880,1,C:\Users\glady\Desktop\datalogging (new)/line length_3664.jpg,0.007249,1.007249
2,12,0.175,0.338,0.746,0.605,0.445,5,0.64,0.98,0.53,3,0.47,0.63,0.18,1440,1,C:\Users\glady\Desktop\datalogging (new)/line length_432.jpg,0.007292,1.007292
2,13,0.321,0.734,0.892,0.135,0.643,5,0.72,0.9,0.8,2,0.41,0.99,0.68,1040,1,C:\Users\glady\Desktop\datalogging (new)/line length_360.jpg,0.007938,1.007938
2,11,0.57,0.824,0.32,0.388,0.744,5,0.17,0.52,0.91,2,0.53,0.61,0.07,880,1,C:\Users\glady\Desktop\datalogging (new)/line length_343.jpg,0.008753,1.008753
18,13,0.691,0.607,0.877,0.967,0.518,6,0.99,0.09,0.58,2,0.09,0.74,0.49,1872,1,C:\Users\glady\Desktop\datalogging (new)/line length_2541.jpg,0.009595,1.009595
8,9,0.444,0.404,0.492,0.767,0.723,5,0.73,0.68,0.5,2,0.43,0.73,0.09,1440,1,C:\Users\glady\Desktop\datalogging (new)/line length_1106.jpg,0.009745,1.009745
13,13,0.949,0.744,0.884,0.155,0.484,5,0.53,0.45,0.46,2,0.58,0.83,0.79,4810,1,C:\Users\glady\Desktop\datalogging (new)/line length_2291.jpg,0.009983,1.009983
8,8,0.808,0.765,0.426,0.75,0.512,5,0.27,0.1,0.41,2,0.73,0.73,0.43,1280,1,C:\Users\glady\Desktop\datalogging (new)/line length_1241.jpg,0.012364,1.012364
8,10,0.306,0.21,0.337,0.276,0.361,4,0.37,0.44,0.44,2,0.4,0.5,0.6,1280,1,C:\Users\glady\Desktop\datalogging (new)/line length_1226.jpg,0.013636,1.013636
26,8,0.792,0.569,0.629,0.722,0.544,4,0.15,0.38,0.73,2,0.71,0.25,0.66,2048,1,C:\Users\glady\Desktop\datalogging (new)/line length_3980.jpg,0.01408,1.01408
8,10,0.724,0.369,0.407,0.668,0.506,4,0.45,0.34,0.55,2,0.22,0.14,0.46,1280,1,C:\Users\glady\Desktop\datalogging (new)/line length_1299.jpg,0.01441,1.01441
2,12,0.091,0.435,0.888,0.979,0.588,7,0.67,0.18,0.67,3,0.83,0.56,0.08,2016,2,C:\Users\glady\Desktop\datalogging (new)/line length_412.jpg,0.004527,2.004527
23,11,0.398,0.879,0.965,0.878,0.177,6,0.12,0.64,0.41,3,0.84,0.83,0.01,4752,2,C:\Users\glady\Desktop\datalogging (new)/line length_3626.jpg,0.004877,2.004877
18,9,0.306,0.409,0.304,0.968,0.468,6,0.27,0.99,0.82,2,0.67,0.88,0.33,1296,2,C:\Users\glady\Desktop\datalogging (new)/line length_2925.jpg,0.004921,2.004921
7,14,0.088,0.791,0.089,0.689,0.316,6,0.95,0.16,0.53,2,0.28,0.98,0.18,6216,2,C:\Users\glady\Desktop\datalogging (new)/line length_892.jpg,0.008882,2.008882
20,8,0.744,0.536,0.803,0.202,0.844,7,0.55,0.22,0.66,3,0.09,0.66,0.27,2688,2,C:\Users\glady\Desktop\datalogging (new)/line length_3095.jpg,0.009222,2.009222
21,10,0.426,0.575,0.524,0.167,0.453,6,0.57,0.44,0.19,3,0.47,0.1,0.49,3600,2,C:\Users\glady\Desktop\datalogging (new)/line length_3288.jpg,0.009461,2.009461
26,10,0.582,0.351,0.818,0.078,0.994,6,0.75,0.08,0.65,2,0.67,0.38,0.88,3840,2,C:\Users\glady\Desktop\datalogging (new)/line length_3914.jpg,0.010341,2.010341
2,14,0.412,0.445,0.423,0.218,0.099,4,0.27,0.6,0.85,3,0.26,0.13,0.89,1344,2,C:\Users\glady\Desktop\datalogging (new)/line length_398.jpg,0.011198,2.011198
