module type_0,x_0,x_1,x_2,x_3,x_4,x_5,y_0,y_1,y_2,y_3,z_0,z_1,z_2,z_3,edge count_0,line length_0,area difference_0,total score_0,img_0,deformation average_0,deformation variance_0,strain energy_0
29,10,0.453,0.555,0.008,0.622,0.367,6,0.27,0.07,0.76,2,0.13,0.19,0.97,5280,103,C:\Users\glady\Desktop\datalogging (new)/line length_4532.jpg,4.47E-06,0.006904,103.006904,0.891447,0.497942
29,4.42E-06,0.879882,0.451137,,,,,,,,,,,,,,,,,,,
29,10,0.453,0.555,0.008,0.622,0.367,6,0.27,0.07,0.76,2,0.13,0.19,0.97,2880,3,C:\Users\glady\Desktop\datalogging (new)/line length_4533.jpg,4.42E-06,0.006904,3.006904,0.879882,0.451137
23,4.42E-06,0.879882,0.451137,,,,,,,,,,,,,,,,,,,
23,10,0.453,0.555,0.008,0.622,0.367,6,0.27,0.07,0.76,2,0.13,0.19,0.97,2880,3,C:\Users\glady\Desktop\datalogging (new)/line length_4533.jpg,4.42E-06,0.006904,3.006904,0.879882,0.451137
23,4.42E-06,0.879882,0.451137,,,,,,,,,,,,,,,,,,,
23,10,0.453,0.555,0.008,0.622,0.367,6,0.27,0.07,0.76,2,0.13,0.19,0.97,2880,3,C:\Users\glady\Desktop\datalogging (new)/line length_4534.jpg,4.42E-06,0.006904,3.006904,0.879882,0.451137
23,6.22E-06,1.104074,0.530972,,,,,,,,,,,,,,,,,,,
23,14,0.148,0.45,0.157,0.093,0.302,6,0.79,0.07,0.67,3,0.11,0.32,0.91,6048,204,C:\Users\glady\Desktop\datalogging (new)/line length_4535.jpg,6.22E-06,0.00876,204.00876,1.104074,0.530972
23,0.000012,1.568005,1.264195,,,,,,,,,,,,,,,,,,,
23,12,0.753,0.981,0.21,0.966,0.645,5,0.74,0.65,0.63,3,0.57,0.21,0.21,4320,12,C:\Users\glady\Desktop\datalogging (new)/line length_4536.jpg,0.000012,0.009345,12.009345,1.568005,1.264195
23,0.000011,1.480406,1.197502,,,,,,,,,,,,,,,,,,,
23,14,0.094,0.959,0.168,0.774,0.232,4,0.19,0.63,0.01,3,0.05,0.25,0.18,4032,0,C:\Users\glady\Desktop\datalogging (new)/line length_4537.jpg,0.000011,0.011971,0.011971,1.480406,1.197502
23,2.51E-06,0.684154,0.224919,,,,,,,,,,,,,,,,,,,
23,14,0.806,0.801,0.06,0.035,0.53,7,0.58,0.32,0.98,2,0.93,0.75,0.81,4704,7,C:\Users\glady\Desktop\datalogging (new)/line length_4538.jpg,2.51E-06,0.006953,7.006953,0.684154,0.224919
23,3.09E-06,0.544498,0.142631,,,,,,,,,,,,,,,,,,,
23,14,0.877,0.938,0.088,0.91,0.168,6,0.01,0.58,0.15,2,0.15,0.68,0.16,4032,0,C:\Users\glady\Desktop\datalogging (new)/line length_4539.jpg,3.09E-06,0.005793,0.005793,0.544498,0.142631
23,6.88E-06,1.099879,0.544774,,,,,,,,,,,,,,,,,,,
23,13,0.921,0.956,0.461,0.81,0.543,6,0.9,0.83,0.77,3,0.15,0.68,0.88,5616,0,C:\Users\glady\Desktop\datalogging (new)/line length_4540.jpg,6.88E-06,0.006627,0.006627,1.099879,0.544774
23,6.00E-06,1.058198,0.646385,,,,,,,,,,,,,,,,,,,
23,13,0.027,0.414,0.413,0.286,0.62,4,0.12,0.13,0.12,2,0.16,0.01,0.51,2496,12,C:\Users\glady\Desktop\datalogging (new)/line length_4541.jpg,6.00E-06,0.01259,12.01259,1.058198,0.646385
23,0.000012,1.619364,1.461657,,,,,,,,,,,,,,,,,,,
23,9,0.644,0.378,0.369,0.866,0.526,6,0.57,0.06,0.97,3,0.29,0.27,0.34,3888,25,C:\Users\glady\Desktop\datalogging (new)/line length_4542.jpg,0.000012,0.007294,25.007294,1.619364,1.461657
23,5.72E-06,1.074076,0.613106,,,,,,,,,,,,,,,,,,,
23,12,0.779,0.404,0.279,0.277,0.605,4,0.47,0.12,0.74,2,0.26,0.54,0.22,2304,25,C:\Users\glady\Desktop\datalogging (new)/line length_4543.jpg,5.72E-06,0.015011,25.015011,1.074076,0.613106
23,9.92E-06,1.439099,1.409914,,,,,,,,,,,,,,,,,,,
23,12,0.79,0.445,0.031,0.733,0.89,7,0.17,0.12,0.78,3,0.31,0.36,0.43,6048,0,C:\Users\glady\Desktop\datalogging (new)/line length_4544.jpg,9.92E-06,0.004695,0.004695,1.439099,1.409914
23,0.000012,1.703204,2.001251,,,,,,,,,,,,,,,,,,,
23,8,0.122,0.138,0.277,0.451,0.279,4,0.02,0.34,0.76,2,0.73,0.9,0.64,1536,22,C:\Users\glady\Desktop\datalogging (new)/line length_4545.jpg,0.000012,0.011611,22.011611,1.703204,2.001251
23,8.31E-06,1.184832,0.77392,,,,,,,,,,,,,,,,,,,
23,11,0.111,0.828,0.303,0.967,0.277,7,0.26,0.18,0.84,3,0.24,0.45,0.27,5544,0,C:\Users\glady\Desktop\datalogging (new)/line length_4546.jpg,8.31E-06,0.003184,0.003184,1.184832,0.77392
23,2.31E-06,0.49263,0.11451,,,,,,,,,,,,,,,,,,,
23,14,0.09,0.916,0.167,0.422,0.114,7,0.07,0.62,0.12,2,0.26,0.94,0.13,4704,0,C:\Users\glady\Desktop\datalogging (new)/line length_4547.jpg,2.31E-06,0.003688,0.003688,0.49263,0.11451
23,0.000017,1.962696,2.340195,,,,,,,,,,,,,,,,,,,
23,11,0.709,0.125,0.247,0.644,0.033,4,0.22,0.66,0.48,3,0.05,0.16,0.19,3168,36,C:\Users\glady\Desktop\datalogging (new)/line length_4548.jpg,0.000017,0.013271,36.013271,1.962696,2.340195
23,0.000012,1.887881,1.715805,,,,,,,,,,,,,,,,,,,
23,14,0.894,0.824,0.005,0.048,0.952,5,0.34,0.67,0.82,3,0.73,0.52,0.27,5040,136,C:\Users\glady\Desktop\datalogging (new)/line length_4549.jpg,0.000012,0.009702,136.009702,1.887881,1.715805
23,3.75E-06,0.839878,0.41955,,,,,,,,,,,,,,,,,,,
23,9,0.565,0.359,0.139,0.804,0.383,7,0.15,0.13,0.11,2,0.2,0.24,0.85,3024,17,C:\Users\glady\Desktop\datalogging (new)/line length_4550.jpg,3.75E-06,0.006032,17.006032,0.839878,0.41955
23,0.00001,1.510776,1.181803,,,,,,,,,,,,,,,,,,,
23,10,0.857,0.006,0.919,0.206,0.637,6,0.34,0.23,0.43,3,0.93,0.18,0.53,4320,30,C:\Users\glady\Desktop\datalogging (new)/line length_4551.jpg,0.00001,0.008364,30.008364,1.510776,1.181803
23,2.94E-06,0.617418,0.194179,,,,,,,,,,,,,,,,,,,
23,10,0.387,0.72,0.755,0.945,0.185,7,0.68,0.92,0.69,2,0.02,0.81,0.98,3360,0,C:\Users\glady\Desktop\datalogging (new)/line length_4552.jpg,2.94E-06,0.0041,0.0041,0.617418,0.194179
23,8.38E-06,1.544697,0.922675,,,,,,,,,,,,,,,,,,,
23,8,0.618,0.765,0.097,0.013,0.296,7,0.06,0.96,0.73,3,0.6,0.64,0.25,4032,246,C:\Users\glady\Desktop\datalogging (new)/line length_4553.jpg,8.38E-06,0.014753,246.014753,1.544697,0.922675
